28,1|2|3|4|5|6|7|,1|2|3|4|,5|6|7|, ,1|2|3|4|,1|2|3|4|5|6|7|,0,1,
29,1|2|3|4|5|6|7|,1|2|3|4|,5|6|7|, ,1|2|3|4|,1|2|3|4|5|6|7|,0,1,
30,1|2|3|4|5|6|7|,1|2|3|4|,5|6|7|, ,1|2|3|4|,1|2|3|4|5|6|7|,0,1,
31,1|2|3|4|5|6|7|,1|2|3|4|,5|6|7|, ,1|2|3|4|,1|2|3|4|5|6|7|,0,1,
32,1|2|3|4|5|6|7|,1|2|3|4|,5|6|7|, ,1|2|3|4|,1|2|3|4|5|6|7|,0,1,
33,1|2|3|4|5|6|7|,1|2|3|4|,5|6|7|, ,1|2|3|4|,1|2|3|4|5|6|7|,0,1,
34,1|2|3|4|5|6|7|,1|2|3|4|,5|6|7|, ,1|2|3|4|,1|2|3|4|5|6|7|,0,1,
35,1|2|3|4|5|6|7|,1|2|3|4|,5|6|7|, ,1|2|3|4|,1|2|3|4|5|6|7|,0,1,
36,1|2|3|4|5|6|7|,1|2|3|4|,5|6|7|, ,1|2|3|4|,1|2|3|4|5|6|7|,0,1,
37,1|2|3|4|5|6|7|,1|2|3|4|,5|6|7|, ,1|2|3|4|,1|2|3|4|5|6|7|,0,1,
38,1|2|3|4|5|6|7|,1|2|3|4|,5|6|7|, ,1|2|3|4|,1|2|3|4|5|6|7|,0,1,
39,1|2|3|4|5|6|7|,1|2|3|4|,5|6|7|, ,1|2|3|4|,1|2|3|4|5|6|7|,0,1,
40,1|2|3|4|5|6|7|,1|2|3|4|,5|6|7|, ,1|2|3|4|,1|2|3|4|5|6|7|,0,1,
41,1|2|3|4|5|6|7|,1|2|3|4|,5|6|7|, ,1|2|3|4|,1|2|3|4|5|6|7|,0,1,
42,1|2|3|4|5|6|7|,1|2|3|4|,5|6|7|, ,1|2|3|4|,1|2|3|4|5|6|7|,0,1,
43,1|2|3|4|5|6|7|,1|2|3|4|,5|6|7|, ,1|2|3|4|,1|2|3|4|5|6|7|,0,1,
44,1|2|3|4|5|6|7|,1|2|3|4|,5|6|7|, ,1|2|3|4|,1|2|3|4|5|6|7|,0,1,
45,1|2|3|4|5|6|7|,1|2|3|4|,5|6|7|, ,1|2|3|4|,1|2|3|4|5|6|7|,0,1,
46,1|2|3|4|5|6|7|,1|2|3|4|,5|6|7|, ,1|2|3|4|,1|2|3|4|5|6|7|,0,1,
47,1|2|3|4|5|6|7|,1|2|3|4|,5|6|7|, ,1|2|3|4|,1|2|3|4|5|6|7|,0,1,
48,1|2|3|4|5|6|7|,1|2|3|4|,5|6|7|, ,1|2|3|4|,1|2|3|4|5|6|7|,0,1,
49,1|2|3|4|5|6|7|,1|2|3|4|,5|6|7|, ,1|2|3|4|,1|2|3|4|5|6|7|,0,1,
50,1|2|3|4|5|6|7|,1|,2|3|4|5|6|7|, ,1|,1|2|3|4|5|6|7|,0,1,
51,1|2|3|4|5|6|7|,1|2|3|4|,5|6|7|, ,1|2|3|4|,1|2|3|4|5|6|7|,0,1,
56,5|223|67|21|,123213|64564|5|67|21|,223|,123213|64564|,5|67|21|,5|223|67|21|123213|64564|,0,0,
57,5|223|67|21|,123213|64564|5|67|21|,223|,123213|64564|,5|67|21|,5|223|67|21|123213|64564|,0,0,
