0,1|2|3|4|5|6|7|,1|2|3|4|,5|6|7|,,1|2|3|4|,1|2|3|4|5|6|7|,0,1,
1,1|2|3|4|5|6|7|,1|2|3|4|,5|6|7|,,1|2|3|4|,1|2|3|4|5|6|7|,0,1,
2,1|2|3|4|5|6|7|,1|2|3|4|,5|6|7|,,1|2|3|4|,1|2|3|4|5|6|7|,0,1,
3,1|2|3|4|5|6|7|,1|2|3|4|,5|6|7|,,1|2|3|4|,1|2|3|4|5|6|7|,0,1,
4,1|2|3|4|5|6|7|,1|2|3|4|,5|6|7|,,1|2|3|4|,1|2|3|4|5|6|7|,0,1,
5,1|2|3|4|5|6|7|,1|2|3|4|,5|6|7|,,1|2|3|4|,1|2|3|4|5|6|7|,0,1,
6,1|2|3|4|5|6|7|,1|2|3|4|,5|6|7|,,1|2|3|4|,1|2|3|4|5|6|7|,0,1,
7,1|2|3|4|5|6|7|,1|2|3|4|,5|6|7|,,1|2|3|4|,1|2|3|4|5|6|7|,0,1,
8,1|2|3|4|5|6|7|,1|2|3|4|,5|6|7|,,1|2|3|4|,1|2|3|4|5|6|7|,0,1,
9,1|2|3|4|5|6|7|,1|2|3|4|,5|6|7|,,1|2|3|4|,1|2|3|4|5|6|7|,0,1,
10,1|2|3|4|5|6|7|,1|2|3|4|,5|6|7|,,1|2|3|4|,1|2|3|4|5|6|7|,0,1,
11,1|2|3|4|5|6|7|,1|2|3|4|,5|6|7|,,1|2|3|4|,1|2|3|4|5|6|7|,0,1,
12,1|2|3|4|5|6|7|,1|2|3|4|,5|6|7|,,1|2|3|4|,1|2|3|4|5|6|7|,0,1,
13,1|2|3|4|5|6|7|,1|2|3|4|,5|6|7|,,1|2|3|4|,1|2|3|4|5|6|7|,0,1,
14,1|2|3|4|5|6|7|,1|2|3|4|,5|6|7|,,1|2|3|4|,1|2|3|4|5|6|7|,0,1,
15,1|2|5|6|7|,1|2|3|4|7|5|3|2|,6|,3|4|3|,1|2|5|7|,1|2|5|6|7|3|4|,1,0,
